loQualifier_s,Concentration_UNIT_s,MATERIAL_STATE_s,NATURAL_ORGANIC_MATTER_(NOM)_d,Time_UNIT_s,K+_d,guidance_synonym_ss,SEX_s,reference_year_s,E.exposure_route_s,InChI_s,owner_name_s,reference_owner_s,Doses/concentrations_d,id,_CONDITION_concentration_UNIT_s,MG2+_d,Concentration_d,nmcode_s,NPO_1969 OBI_0000272_s,ENDPOINT_s,upValue_d,effectendpoint_type_s,PubChem SID_s,Dispersion agent_s,Concentration in culture medium_d,effectid_hs,Dispersion protocol_s,Sigma Aldrich_s,data_gathering_instruments_s,CLO_0000031 EFO_0004443_s,OBI_0001911 BAO_0000114_s,TradeName_s,SUMMARY.RESULTS_hss,E.EXPOSURE_TIME_d,errQualifier_s,CA2+_UNIT_s,topcategory_s,ENVIRONMENT_s,CA2+_d,updated_s,endpoint_s,NPO_1961_s,INTENSITY_UNIT_s,substance_annotation_ss,Doses/concentrations_UNIT_s,effectendpoint_s,E.METHOD_s,Alternative Identifier_s,pH_UPQUALIFIER_s,STUDY_ID_s,NATURAL_ORGANIC_MATTER_(NOM)_UNIT_s,STANDARD_TEST_PROTOCOL_s,Concentration in culture medium_UNIT_s,concentration_d,substanceType_hs,SUMMARY.SIZE_hss,_CONDITION_exposure_time_UNIT_s,JRC ID_s,SUMMARY.REFOWNERS_hss,type_s,EINECS_s,concentration_s,publicname_hs,Time point_UNIT_s,concentration_UNIT_s,SUMMARY.REFS_hss,InChIKey_s,s_uuid_hs,Cell culture conditions - Serum concentration in treatment medium_s,DATA_GATHERING_INSTRUMENTS_s,assay_uuid_s,upQualifier_s,Quantification_s,endpointcategory_s,TAXONOMIC_CLASS_s,_CONDITION_Dose_d,Supplier_s,reference_s,E.exposure_time_UNIT_s,INTENSITY_MICROMOLE_UNIT_s,FPG Content_d,Incubation Time_d,investigation_uuid_s,name_s,CASRN_s,Method type_s,textValue_s,Cell line_s,NA2+_UNIT_s,Sample preparation_s,pH_d,INTENSITY_d,component_s,interpretation_result_s,INTENSITY_MICROMOLE_d,TROPHIC_LEVEL_s,__input_file_s,_CONDITION_concentration_d,loValue_d,nmcode_hs,COD_s,Cell culture conditions - Serum_s,E.ANIMAL_MODEL_s,name_hs,unit_s,"Exposure duration,h_s",K+_UNIT_s,_CONDITION_exposure_time_d,Tissue_s,gender_s,NPO_1952_s,type_of_method_s,Cell culture. Serum_d,Data analysis_s,CHMO:0002774_s,E.SOP_REFERENCE_s,MG2+_UNIT_s,Replicate_s,TAXONOMIC_GROUP_s,pH_UPVALUE_d,E.EXPOSURE_TIME_UNIT_s,Classification_s,guidance_s,document_uuid_s,Dose_UNIT_s,CLO_0000031_s,pH_LOQUALIFIER_s,E.method_s,LIFE_STAGE_s,publicname_s,studyResultType_s,Dose_d,ChEMBL_s,PubChem CID_s,SMILES_s,T.instrument_s,Time_d,Serum_d,E.cell_type_s,E.exposure_time_s,err_d,substance_annotation_hss,content_hss,Cell culture. Serum_UNIT_s,HAR material_s,NA2+_d,E.animal_model_s,MEDIUM_s,Solvent_d,E.exposure_time_d,s_uuid_s,effectendpoint_synonym_ss,pH_LOVALUE_d,substanceType_s,Cell_s,Time point_d,LIGHT_CONDITION_s,Cell line/Type - Full name_s,Incubation time_d,Type of method_s,_version_,_CONDITION_Dose_UNIT_s,pH_s,dbtag_hss,ChemicalName_s,JRC Representative Manufactured Nanomaterials_s,TYPE_d,owner_name_hs
"",,,,,,,,,,,,,,FCSV-3ec13f75-086f-332c-8e12-0f286bc6fb0d/505/prm,,,,,,,,,,,,,,,,,,,,,,,P-CHEM,,,,,,,,,,,,,,,,,,,,,,,params,,,,,,,,,,Tecnai 20 (FEI) microscope;Tecnai 20 (FEI) microscope;AMT 16000 camera,,,,PC_GRANULOMETRY_SECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOI: 10.1021/NN406018Q,FCSV-3ec13f75-086f-332c-8e12-0f286bc6fb0d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEM,1798048574434443264,,,,,,,
"",,,,,,,,,,,,,,FCSV-580e5898-73c7-3e1b-811c-faa8cccd7b51/524/prm,,,,,,,,,,,,,,,,,,,,,,,P-CHEM,,,,,,,,,,,,,,,,,,,,,,,params,,,,,,,,,,,,,,PC_UNKNOWN_SECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOI: 10.1021/NN406018Q,FCSV-580e5898-73c7-3e1b-811c-faa8cccd7b51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Serum.density,1798048574434443264,,,,,,,
"",,,,,,,,,,,,,,FCSV-580e5898-73c7-3e1b-811c-faa8cccd7b51/524/prm,,,,,,,,,,,,,,,,,,,,,,,P-CHEM,,,,,,,,,,,,,,,,,,,,,,,params,,,,,,,,,,,,,,PC_UNKNOWN_SECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOI: 10.1021/NN406018Q,FCSV-580e5898-73c7-3e1b-811c-faa8cccd7b51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Serum.density,1798048574434443264,,,,,,,
"",,,,,,,,,,,,,,FCSV-580e5898-73c7-3e1b-811c-faa8cccd7b51/524/prm,,,,,,,,,,,,,,,,,,,,,,,P-CHEM,,,,,,,,,,,,,,,,,,,,,,,params,,,,,,,,,,,,,,PC_UNKNOWN_SECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOI: 10.1021/NN406018Q,FCSV-580e5898-73c7-3e1b-811c-faa8cccd7b51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Serum.density,1798048574434443264,,,,,,,
"",,,,,,,,,,,,,,FCSV-b0e05090-e05d-339c-a288-b5d8f16c727d/521/prm,,,,,,,,,,,,,,,,,,,,,,,TOX,,,,,,,,,,,,,,,,,,,,,,,params,,,,,,,,,,,,,,UNKNOWN_TOXICITY_SECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOI: 10.1021/NN406018Q,FCSV-b0e05090-e05d-339c-a288-b5d8f16c727d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Serum.density,1798048574434443264,,,,,,,
"",,,,,,,,,,,,,,FCSV-b42b9514-9693-3b87-b40e-6920a55ffb8e/517/prm,,,,,,,,,,,,,,,,,,,,,,,P-CHEM,,,,,,,,,,,,,,,,,,,,,,,params,,,,,,,,,,ZetaSizer Nano ZS (Malvern Instruments),,,,ZETA_POTENTIAL_SECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOI: 10.1021/NN406018Q,FCSV-b42b9514-9693-3b87-b40e-6920a55ffb8e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DLS,1798048574434443264,,,,,,,
"",,,,,,,,,,,,,,FCSV-b42b9514-9693-3b87-b40e-6920a55ffb8e/517/prm,,,,,,,,,,,,,,,,,,,,,,,P-CHEM,,,,,,,,,,,,,,,,,,,,,,,params,,,,,,,,,,ZetaSizer Nano ZS (Malvern Instruments),,,,ZETA_POTENTIAL_SECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOI: 10.1021/NN406018Q,FCSV-b42b9514-9693-3b87-b40e-6920a55ffb8e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DLS,1798048574434443264,,,,,,,
"",,,,,,,,,,,,,,FCSV-df20bc4f-07d8-3b02-96e9-2fef03b4ec6e/500/prm,,,,,,,,,,,,,,,,,,,,,,,TOX,,,,,,,,,,,,,,,,,,,,,,,params,,,,,,,,,,Perkin-Elmer,,,,UNKNOWN_TOXICITY_SECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOI: 10.1021/NN406018Q,FCSV-df20bc4f-07d8-3b02-96e9-2fef03b4ec6e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ICP-AES,1798048574434443264,,,,,,,
"",,,,,,,,,,,,,,FCSV-df20bc4f-07d8-3b02-96e9-2fef03b4ec6e/500/prm,,,,,,,,,,,,,,,,,,,,,,,TOX,,,,,,,,,,,,,,,,,,,,,,,params,,,,,,,,,,Perkin-Elmer,,,,UNKNOWN_TOXICITY_SECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOI: 10.1021/NN406018Q,FCSV-df20bc4f-07d8-3b02-96e9-2fef03b4ec6e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ICP-AES,1798048574434443264,,,,,,,
"",,,,,,,,,,,,,,FCSV-ff92640c-4229-35e3-aede-d7a8f36ee365/513/prm,,,,,,,,,,,,,,,,,,,,,,,P-CHEM,,,,,,,,,,,,,,,,,,,,,,,params,,,,,,,,,,ZetaSizer Nano ZS (Malvern Instruments),,,,PC_GRANULOMETRY_SECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOI: 10.1021/NN406018Q,FCSV-ff92640c-4229-35e3-aede-d7a8f36ee365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DLS,1798048574434443264,,,,,,,
"",,,,,,,,,,,,,,FCSV-ff92640c-4229-35e3-aede-d7a8f36ee365/513/prm,,,,,,,,,,,,,,,,,,,,,,,P-CHEM,,,,,,,,,,,,,,,,,,,,,,,params,,,,,,,,,,ZetaSizer Nano ZS (Malvern Instruments),,,,PC_GRANULOMETRY_SECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOI: 10.1021/NN406018Q,FCSV-ff92640c-4229-35e3-aede-d7a8f36ee365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DLS,1798048574434443264,,,,,,,
"",,,,,,,,,,,,,,FCSV-ff92640c-4229-35e3-aede-d7a8f36ee365/513/prm,,,,,,,,,,,,,,,,,,,,,,,P-CHEM,,,,,,,,,,,,,,,,,,,,,,,params,,,,,,,,,,ZetaSizer Nano ZS (Malvern Instruments),,,,PC_GRANULOMETRY_SECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOI: 10.1021/NN406018Q,FCSV-ff92640c-4229-35e3-aede-d7a8f36ee365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DLS,1798048574434443264,,,,,,,
"",,,,,,,,,,,,,,FCSV-ff92640c-4229-35e3-aede-d7a8f36ee365/513/prm,,,,,,,,,,,,,,,,,,,,,,,P-CHEM,,,,,,,,,,,,,,,,,,,,,,,params,,,,,,,,,,ZetaSizer Nano ZS (Malvern Instruments),,,,PC_GRANULOMETRY_SECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOI: 10.1021/NN406018Q,FCSV-ff92640c-4229-35e3-aede-d7a8f36ee365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DLS,1798048574434443264,,,,,,,
"",,,,,,,,,,,,,,FCSV-ff92640c-4229-35e3-aede-d7a8f36ee365/513/prm,,,,,,,,,,,,,,,,,,,,,,,P-CHEM,,,,,,,,,,,,,,,,,,,,,,,params,,,,,,,,,,ZetaSizer Nano ZS (Malvern Instruments),,,,PC_GRANULOMETRY_SECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOI: 10.1021/NN406018Q,FCSV-ff92640c-4229-35e3-aede-d7a8f36ee365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DLS,1798048574434443264,,,,,,,
"",,,,,,,,,,,,,,FCSV-ff92640c-4229-35e3-aede-d7a8f36ee365/513/prm,,,,,,,,,,,,,,,,,,,,,,,P-CHEM,,,,,,,,,,,,,,,,,,,,,,,params,,,,,,,,,,ZetaSizer Nano ZS (Malvern Instruments),,,,PC_GRANULOMETRY_SECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOI: 10.1021/NN406018Q,FCSV-ff92640c-4229-35e3-aede-d7a8f36ee365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DLS,1798048574434443264,,,,,,,
"",,,,,,,,,,,,,,FCSV-ff92640c-4229-35e3-aede-d7a8f36ee365/513/prm,,,,,,,,,,,,,,,,,,,,,,,P-CHEM,,,,,,,,,,,,,,,,,,,,,,,params,,,,,,,,,,ZetaSizer Nano ZS (Malvern Instruments),,,,PC_GRANULOMETRY_SECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOI: 10.1021/NN406018Q,FCSV-ff92640c-4229-35e3-aede-d7a8f36ee365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DLS,1798048574434443264,,,,,,,
"",,,,,,,,,,,,,,FCSV-ff92640c-4229-35e3-aede-d7a8f36ee365/513/prm,,,,,,,,,,,,,,,,,,,,,,,P-CHEM,,,,,,,,,,,,,,,,,,,,,,,params,,,,,,,,,,ZetaSizer Nano ZS (Malvern Instruments),,,,PC_GRANULOMETRY_SECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOI: 10.1021/NN406018Q,FCSV-ff92640c-4229-35e3-aede-d7a8f36ee365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DLS,1798048574434443264,,,,,,,
"",,,,,,,,,,,,,,FCSV-1336b809-d516-3fd2-8d57-b77762cb2667/546/prm,,,,,,,,,,,,,,,,,,,,,,,P-CHEM,,,,,,,,,,,,,,,,,,,,,,,params,,,,,,,,,,ZetaSizer Nano ZS (Malvern Instruments),,,,ZETA_POTENTIAL_SECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOI: 10.1021/NN406018Q,FCSV-1336b809-d516-3fd2-8d57-b77762cb2667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DLS,1798048574453317632,,,,,,,
"",,,,,,,,,,,,,,FCSV-1336b809-d516-3fd2-8d57-b77762cb2667/546/prm,,,,,,,,,,,,,,,,,,,,,,,P-CHEM,,,,,,,,,,,,,,,,,,,,,,,params,,,,,,,,,,ZetaSizer Nano ZS (Malvern Instruments),,,,ZETA_POTENTIAL_SECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOI: 10.1021/NN406018Q,FCSV-1336b809-d516-3fd2-8d57-b77762cb2667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DLS,1798048574453317632,,,,,,,
"",,,,,,,,,,,,,,FCSV-2e652225-6953-30bf-bfc0-fd1562f1e5c5/550/prm,,,,,,,,,,,,,,,,,,,,,,,TOX,,,,,,,,,,,,,,,,,,,,,,,params,,,,,,,,,,,,,,UNKNOWN_TOXICITY_SECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOI: 10.1021/NN406018Q,FCSV-2e652225-6953-30bf-bfc0-fd1562f1e5c5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Serum.density,1798048574453317632,,,,,,,
"",,,,,,,,,,,,,,FCSV-4c60c5cb-d554-30bf-ae7a-450fbcf0adc5/534/prm,,,,,,,,,,,,,,,,,,,,,,,P-CHEM,,,,,,,,,,,,,,,,,,,,,,,params,,,,,,,,,,Tecnai 20 (FEI) microscope;Tecnai 20 (FEI) microscope;AMT 16000 camera,,,,PC_GRANULOMETRY_SECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOI: 10.1021/NN406018Q,FCSV-4c60c5cb-d554-30bf-ae7a-450fbcf0adc5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEM,1798048574453317632,,,,,,,
"",,,,,,,,,,,,,,FCSV-4c60c5cb-d554-30bf-ae7a-450fbcf0adc5/534/prm,,,,,,,,,,,,,,,,,,,,,,,P-CHEM,,,,,,,,,,,,,,,,,,,,,,,params,,,,,,,,,,Tecnai 20 (FEI) microscope;Tecnai 20 (FEI) microscope;AMT 16000 camera,,,,PC_GRANULOMETRY_SECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOI: 10.1021/NN406018Q,FCSV-4c60c5cb-d554-30bf-ae7a-450fbcf0adc5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEM,1798048574453317632,,,,,,,
"",,,,,,,,,,,,,,FCSV-4c60c5cb-d554-30bf-ae7a-450fbcf0adc5/534/prm,,,,,,,,,,,,,,,,,,,,,,,P-CHEM,,,,,,,,,,,,,,,,,,,,,,,params,,,,,,,,,,Tecnai 20 (FEI) microscope;Tecnai 20 (FEI) microscope;AMT 16000 camera,,,,PC_GRANULOMETRY_SECTION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOI: 10.1021/NN406018Q,FCSV-4c60c5cb-d554-30bf-ae7a-450fbcf0adc5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TEM,1798048574453317632,,,,,,,
